iter	Passed	Remaining
0	64	64431
1	68	34176
2	71	23808
3	75	18833
4	88	17660
5	91	15206
6	95	13490
7	98	12187
8	101	11176
9	104	10381
10	107	9693
11	111	9154
12	113	8646
13	116	8230
14	120	7891
15	123	7613
16	127	7348
17	130	7126
18	133	6917
19	137	6723
20	140	6535
21	143	6361
22	145	6194
23	148	6047
24	151	5906
25	154	5778
26	156	5652
27	159	5529
28	162	5426
29	164	5330
30	168	5268
31	170	5170
32	184	5393
33	198	5652
34	202	5570
35	204	5478
36	214	5573
37	218	5521
38	224	5543
39	229	5502
40	235	5509
41	237	5427
42	240	5348
43	243	5281
44	245	5208
45	249	5181
46	252	5114
47	254	5047
48	256	4983
49	279	5317
50	283	5276
51	286	5219
52	288	5159
53	291	5108
54	294	5056
55	298	5037
56	301	4983
57	303	4933
58	306	4884
59	309	4841
60	311	4795
61	316	4787
62	318	4743
63	321	4701
64	324	4668
65	326	4626
66	330	4607
67	333	4567
68	335	4526
69	337	4487
70	340	4457
71	343	4422
72	348	4422
73	351	4394
74	353	4362
75	356	4332
76	358	4302
77	362	4279
78	364	4251
79	367	4223
80	369	4194
81	372	4167
82	375	4145
83	378	4125
84	381	4102
85	383	4078
86	386	4052
87	388	4028
88	391	4004
89	395	3996
90	398	3985
91	401	3960
92	403	3937
93	406	3917
94	409	3900
95	413	3896
96	416	3875
97	418	3854
98	421	3832
99	423	3812
100	427	3802
101	430	3787
102	433	3772
103	435	3755
104	438	3735
105	440	3716
106	444	3712
107	447	3696
108	450	3679
109	452	3661
110	454	3644
111	457	3627
112	461	3624
113	464	3608
114	466	3592
115	469	3575
116	471	3558
117	473	3542
118	478	3539
119	480	3526
120	483	3512
121	485	3497
122	488	3483
123	491	3473
124	494	3461
125	497	3447
126	499	3433
127	501	3419
128	504	3405
129	507	3398
130	510	3387
131	513	3376
132	515	3363
133	518	3349
134	520	3336
135	524	3330
136	527	3321
137	529	3310
138	532	3298
139	535	3286
140	537	3274
141	540	3267
142	543	3259
143	546	3250
144	549	3242
145	552	3230
146	554	3218
147	559	3218
148	562	3210
149	564	3198
150	567	3188
151	569	3176
152	572	3169
153	575	3162
154	579	3157
155	581	3146
156	584	3139
157	587	3131
158	591	3128
159	595	3124
160	601	3134
161	606	3135
162	609	3131
163	612	3121
164	614	3112
165	617	3104
166	621	3099
167	624	3093
168	627	3083
169	629	3075
170	632	3066
171	636	3061
172	639	3056
173	643	3053
174	645	3044
175	648	3034
176	650	3026
177	655	3025
178	658	3019
179	660	3009
180	663	3000
181	665	2991
182	669	2987
183	672	2981
184	675	2975
185	678	2970
186	682	2967
187	687	2969
188	691	2965
189	694	2959
190	696	2951
191	699	2943
192	704	2945
193	707	2938
194	709	2930
195	712	2921
196	715	2917
197	719	2912
198	721	2905
199	724	2897
200	727	2890
201	729	2881
202	732	2877
203	735	2869
204	737	2861
205	740	2853
206	742	2845
207	745	2840
208	749	2838
209	752	2831
210	755	2824
211	757	2816
212	760	2810
213	763	2804
214	766	2799
215	769	2793
216	771	2785
217	774	2779
218	777	2773
219	780	2767
220	783	2763
221	787	2758
222	789	2751
223	792	2744
224	794	2737
225	798	2733
226	800	2725
227	802	2718
228	805	2711
229	808	2705
230	810	2699
231	813	2693
232	816	2686
233	818	2679
234	820	2672
235	823	2665
236	826	2660
237	829	2654
238	831	2648
239	834	2642
240	836	2635
241	839	2628
242	841	2622
243	844	2616
244	847	2612
245	850	2607
246	853	2601
247	856	2597
248	859	2592
249	862	2587
250	865	2583
251	868	2577
252	871	2572
253	875	2570
254	878	2566
255	881	2562
256	884	2557
257	887	2553
258	891	2550
259	895	2548
260	898	2544
261	902	2540
262	905	2538
263	910	2537
264	914	2537
265	917	2533
266	921	2530
267	924	2525
268	929	2525
269	932	2521
270	935	2517
271	938	2512
272	942	2510
273	946	2506
274	949	2503
275	952	2499
276	955	2494
277	959	2490
278	962	2487
279	965	2482
280	968	2477
281	971	2473
282	974	2468
283	977	2464
284	980	2460
285	984	2458
286	988	2454
287	991	2450
288	994	2447
289	998	2443
290	1000	2438
291	1004	2434
292	1007	2431
293	1010	2427
294	1013	2422
295	1016	2417
296	1019	2413
297	1023	2411
298	1027	2409
299	1030	2405
300	1034	2402
301	1038	2399
302	1042	2398
303	1045	2394
